frequency	V(onoise)	V(r1)
6.165950018614792e+000	8.558860e-007	8.037981e-007
6.309573444801902e+000	8.556994e-007	8.037981e-007
6.456542290346524e+000	8.555170e-007	8.037981e-007
6.606934480075928e+000	8.553388e-007	8.037981e-007
6.760829753919785e+000	8.551646e-007	8.037981e-007
6.918309709189331e+000	8.549943e-007	8.037980e-007
7.079457843841344e+000	8.548278e-007	8.037980e-007
7.244359600749864e+000	8.546651e-007	8.037980e-007
7.413102413009137e+000	8.545061e-007	8.037979e-007
7.585775750291798e+000	8.543507e-007	8.037979e-007
7.762471166286877e+000	8.541987e-007	8.037979e-007
7.943282347242774e+000	8.540503e-007	8.037979e-007
8.128305161640951e+000	8.539051e-007	8.037979e-007
8.317637711026666e+000	8.537633e-007	8.037979e-007
8.511380382023720e+000	8.536246e-007	8.037978e-007
8.709635899560761e+000	8.534890e-007	8.037978e-007
8.912509381337408e+000	8.533566e-007	8.037978e-007
9.120108393559049e+000	8.532271e-007	8.037978e-007
9.332543007969861e+000	8.531006e-007	8.037977e-007
9.549925860214309e+000	8.529769e-007	8.037977e-007
9.772372209558055e+000	8.528560e-007	8.037977e-007
9.999999999999947e+000	8.527379e-007	8.037977e-007
1.023292992280749e+001	8.526224e-007	8.037976e-007
1.047128548050894e+001	8.525095e-007	8.037975e-007
1.071519305237601e+001	8.523992e-007	8.037975e-007
1.096478196143179e+001	8.522914e-007	8.037975e-007
1.122018454301957e+001	8.521860e-007	8.037974e-007
1.148153621496876e+001	8.520830e-007	8.037974e-007
1.174897554939523e+001	8.519823e-007	8.037974e-007
1.202264434617406e+001	8.518840e-007	8.037973e-007
1.230268770812375e+001	8.517878e-007	8.037973e-007
1.258925411794160e+001	8.516938e-007	8.037972e-007
1.288249551693127e+001	8.516019e-007	8.037971e-007
1.318256738556400e+001	8.515121e-007	8.037971e-007
1.348962882591646e+001	8.514244e-007	8.037970e-007
1.380384264602877e+001	8.513386e-007	8.037970e-007
1.412537544622746e+001	8.512548e-007	8.037969e-007
1.445439770745919e+001	8.511728e-007	8.037969e-007
1.479108388168199e+001	8.510927e-007	8.037968e-007
1.513561248436199e+001	8.510144e-007	8.037967e-007
1.548816618912472e+001	8.509380e-007	8.037966e-007
1.584893192461104e+001	8.508632e-007	8.037965e-007
1.621810097358920e+001	8.507901e-007	8.037965e-007
1.659586907437550e+001	8.507187e-007	8.037964e-007
1.698243652461734e+001	8.506488e-007	8.037963e-007
1.737800828749365e+001	8.505806e-007	8.037962e-007
1.778279410038912e+001	8.505139e-007	8.037961e-007
1.819700858609972e+001	8.504487e-007	8.037960e-007
1.862087136662855e+001	8.503849e-007	8.037958e-007
1.905460717963235e+001	8.503227e-007	8.037957e-007
1.949844599758032e+001	8.502618e-007	8.037956e-007
1.995262314968866e+001	8.502023e-007	8.037955e-007
2.041737944669515e+001	8.501441e-007	8.037953e-007
2.089296130854025e+001	8.500872e-007	8.037952e-007
2.137962089502218e+001	8.500317e-007	8.037950e-007
