frequency	V(onoise)	V(r1)	V(rl)
5.248074602497666e+003	1.633663e-007	1.613618e-007	2.551353e-008
5.370317963702466e+003	1.597889e-007	1.578282e-007	2.495484e-008
5.495408738576182e+003	1.562839e-007	1.543662e-007	2.440744e-008
5.623413251903426e+003	1.528501e-007	1.509745e-007	2.387117e-008
5.754399373371502e+003	1.494865e-007	1.476522e-007	2.334587e-008
5.888436553555821e+003	1.461920e-007	1.443981e-007	2.283135e-008
6.025595860743507e+003	1.429654e-007	1.412112e-007	2.232745e-008
6.165950018614749e+003	1.398058e-007	1.380903e-007	2.183400e-008
6.309573444801858e+003	1.367119e-007	1.350344e-007	2.135082e-008
6.456542290346478e+003	1.336827e-007	1.320424e-007	2.087774e-008
6.606934480075881e+003	1.307171e-007	1.291132e-007	2.041459e-008
6.760829753919737e+003	1.278140e-007	1.262457e-007	1.996119e-008
6.918309709189281e+003	1.249722e-007	1.234387e-007	1.951738e-008
7.079457843841294e+003	1.221907e-007	1.206914e-007	1.908298e-008
7.244359600749813e+003	1.194684e-007	1.180024e-007	1.865783e-008
7.413102413009085e+003	1.168042e-007	1.153709e-007	1.824174e-008
7.585775750291745e+003	1.141970e-007	1.127957e-007	1.783457e-008
7.762471166286822e+003	1.116457e-007	1.102758e-007	1.743614e-008
7.943282347242717e+003	1.091494e-007	1.078101e-007	1.704628e-008
8.128305161640892e+003	1.067070e-007	1.053977e-007	1.666483e-008
8.317637711026608e+003	1.043174e-007	1.030374e-007	1.629164e-008
8.511380382023659e+003	1.019796e-007	1.007283e-007	1.592654e-008
8.709635899560699e+003	9.969258e-008	9.846931e-008	1.556937e-008
8.912509381337344e+003	9.745538e-008	9.625956e-008	1.521997e-008
9.120108393558983e+003	9.526699e-008	9.409803e-008	1.487820e-008
