frequency	V(onoise)	V(r1)
6.025595860743483e+003	8.580249e-007	8.142482e-007
6.165950018614725e+003	8.580263e-007	8.142476e-007
6.309573444801834e+003	8.580279e-007	8.142472e-007
6.456542290346454e+003	8.580294e-007	8.142467e-007
6.606934480075856e+003	8.580311e-007	8.142461e-007
6.760829753919711e+003	8.580328e-007	8.142455e-007
6.918309709189256e+003	8.580346e-007	8.142450e-007
7.079457843841267e+003	8.580365e-007	8.142443e-007
7.244359600749786e+003	8.580384e-007	8.142437e-007
7.413102413009058e+003	8.580406e-007	8.142430e-007
7.585775750291718e+003	8.580427e-007	8.142424e-007
7.762471166286794e+003	8.580450e-007	8.142416e-007
7.943282347242689e+003	8.580474e-007	8.142408e-007
8.128305161640863e+003	8.580499e-007	8.142400e-007
8.317637711026577e+003	8.580526e-007	8.142392e-007
8.511380382023628e+003	8.580554e-007	8.142383e-007
8.709635899560666e+003	8.580583e-007	8.142374e-007
8.912509381337311e+003	8.580614e-007	8.142364e-007
9.120108393558950e+003	8.580645e-007	8.142354e-007
9.332543007969760e+003	8.580679e-007	8.142344e-007
9.549925860214205e+003	8.580715e-007	8.142333e-007
9.772372209557949e+003	8.580752e-007	8.142321e-007
9.999999999999838e+003	8.580790e-007	8.142309e-007
1.023292992280738e+004	8.580831e-007	8.142297e-007
1.047128548050883e+004	8.580874e-007	8.142283e-007
1.071519305237589e+004	8.580919e-007	8.142270e-007
1.096478196143167e+004	8.580966e-007	8.142255e-007
1.122018454301945e+004	8.581015e-007	8.142240e-007
1.148153621496864e+004	8.581067e-007	8.142224e-007
1.174897554939510e+004	8.581121e-007	8.142207e-007
1.202264434617393e+004	8.581178e-007	8.142190e-007
1.230268770812361e+004	8.581238e-007	8.142172e-007
1.258925411794147e+004	8.581300e-007	8.142152e-007
1.288249551693113e+004	8.581366e-007	8.142133e-007
1.318256738556385e+004	8.581434e-007	8.142111e-007
1.348962882591631e+004	8.581507e-007	8.142089e-007
1.380384264602862e+004	8.581582e-007	8.142067e-007
